product_id,product_name,product_image,product_price,shop_link,shop_name,shop_logo,review_score,review_score_count,company_name,cpu_socket_type,memory_type
8542220,ASUS PRIME X570-PRO/CSM 대원씨티에스,https://img.danawa.com/prod_img/500000/220/542/img/8542220_1.jpg?shrink=330:330&_v=20220712091917,483970,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=8542220&cmpnyc=TN729&safe_trade=4&fee_type=T&link_pcode=2169372446_2169372446&package=0&setpc=0&r=16678660881688,위메프,https://img.danawa.com/cmpny_info/images/TN729_logo.gif,4.9,28,ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4
16103333,GIGABYTE H610M S2H D4 듀러블에디션 피씨디렉트,https://img.danawa.com/prod_img/500000/333/103/img/16103333_1.jpg?shrink=330:330&_v=20220511130418,120140,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16103333&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4071857058&package=0&setpc=0&r=16678634697698,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.9,20,GIGABYTE ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4
11675459,ASRock B550 Taichi 디앤디컴,https://img.danawa.com/prod_img/500000/459/675/img/11675459_1.jpg?shrink=330:330&_v=20211001145105,447990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=11675459&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C307165227&package=0&setpc=0&r=16678675083990,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,5.0,1,ASRock ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4
14973992,BIOSTAR H510MH 2.0 이엠텍,https://img.danawa.com/prod_img/500000/992/973/img/14973992_1.jpg?shrink=330:330&_v=20210819132109,82000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=14973992&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2413247311&package=0&setpc=0&r=16678671757898,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.9,20,BIOSTAR ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4
16638353,ASRock B660M-HDVP/D5 디앤디컴,https://img.danawa.com/prod_img/500000/353/638/img/16638353_1.jpg?shrink=330:330&_v=20220321152142,125250,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16638353&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4356274867&package=0&setpc=0&r=16678642447669,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,5.0,6,ASRock ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR5
16153055,GIGABYTE Z690 AORUS ELITE AX D4 피씨디렉트,https://img.danawa.com/prod_img/500000/055/153/img/16153055_1.jpg?shrink=330:330&_v=20220111123849,339150,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16153055&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P6335622512&package=0&setpc=0&r=16678646123225,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,5.0,2,GIGABYTE ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4
15603704,ASUS ROG MAXIMUS Z690 HERO STCOM,https://img.danawa.com/prod_img/500000/704/603/img/15603704_1.jpg?shrink=330:330&_v=20220413105238,912600,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=15603704&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=15603704&package=0&setpc=0&r=16678636752725,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,5.0,4,ASUS ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR5
12074723,ASRock A520M PRO4 디앤디컴,https://img.danawa.com/prod_img/500000/723/074/img/12074723_1.jpg?shrink=330:330&_v=20220429172638,130990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=12074723&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C220391806&package=0&setpc=0&r=16678660468822,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,5.0,3,ASRock ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4
16167980,MSI MAG B660 토마호크 WIFI DDR4,https://img.danawa.com/prod_img/500000/980/167/img/16167980_1.jpg?shrink=330:330&_v=20220428140416,259990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16167980&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4354251075&package=0&setpc=0&r=16678642582915,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,5.0,7,MSI ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4
17773823,MSI MAG B550M 박격포 맥스 WiFi,https://img.danawa.com/prod_img/500000/823/773/img/17773823_1.jpg?shrink=330:330&_v=20220905133603,222990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=17773823&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4919631922&package=0&setpc=0&r=16678630802266,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,5.0,12,MSI ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4
