product_id,product_name,product_image,product_price,shop_link,shop_name,shop_logo,review_score,review_score_count,company_name,recommend_power
7358839,NVIDIA 쿼드로 RTX 4000 D6 8GB,https://img.danawa.com/prod_img/500000/839/358/img/7358839_1.jpg?shrink=330:330&_v=20210908100710,1430730,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=7358839&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=7358839&package=0&setpc=0&r=16678625021413,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.4,11,NVIDIA ( 제조사 웹사이트 바로가기),
14158349,SAPPHIRE 라데온 RX 6900 XT NITRO+ Special Edition OC D6 16GB Tri-X,https://img.danawa.com/prod_img/500000/349/158/img/14158349_1.jpg?shrink=330:330&_v=20210817162020,1453020,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=971&cate4=0&pcode=14158349&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2406826080&package=0&setpc=0&r=16678610292261,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,5.0,6,SAPPHIRE ( 제조사 웹사이트 바로가기),정격파워 850W 이상
16706693,COLORFUL iGAME 지포스 RTX 3090 Ti Vulcan OC D6X 24GB,https://img.danawa.com/prod_img/500000/693/706/img/16706693_1.jpg?shrink=330:330&_v=20220407111116,8160000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=16706693&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1777822844&package=0&setpc=0&r=16678599709040,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,5.0,1,COLORFUL ( 제조사 웹사이트 바로가기),
16292312,GIGABYTE AORUS 지포스 RTX 3080 Master D6X 12GB 피씨디렉트,https://img.danawa.com/prod_img/500000/312/292/img/16292312_1.jpg?shrink=330:330&_v=20220127104952,1971000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=16292312&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=16292312&package=0&setpc=0&r=16678606273466,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,5.0,2,GIGABYTE ( 제조사 웹사이트 바로가기),정격파워 850W 이상
13061297,GIGABYTE AORUS 라데온 RX 6800 XT Master TYPE-C D6 16GB,https://img.danawa.com/prod_img/500000/297/061/img/13061297_1.jpg?shrink=330:330&_v=20210318171606,2987170,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=971&cate4=0&pcode=13061297&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P4932417070&package=0&setpc=0&r=16678618561644,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.0,2,GIGABYTE ( 제조사 웹사이트 바로가기),정격파워 750W 이상
11250150,AKiTiO 노드 타이탄 eGPU BOX,https://img.danawa.com/prod_img/500000/150/250/img/11250150_1.jpg?shrink=330:330&_v=20220107173502,512040,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=975&cate4=0&pcode=11250150&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2852656228&package=0&setpc=0&r=16678621483593,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,5.0,2,AKiTiO ( 제조사 웹사이트 바로가기),
7116202,갤럭시 GALAX 지포스 RTX 2060 WHITE D EX D6 6GB,https://img.danawa.com/prod_img/500000/202/116/img/7116202_1.jpg?shrink=330:330&_v=20201020132354,1077330,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=7116202&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1826993338&package=0&setpc=0&r=16678618038933,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.7,40,갤럭시 ( 제조사 웹사이트 바로가기),정격파워 500W 이상
14980448,GIGABYTE 라데온 RX 6600 XT Gaming OC PRO D6 8GB 피씨디렉트,https://img.danawa.com/prod_img/500000/448/980/img/14980448_1.jpg?shrink=330:330&_v=20210811220000,555500,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=971&cate4=0&pcode=14980448&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1640468311&package=0&setpc=0&r=16678612809525,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.0,4,GIGABYTE ( 제조사 웹사이트 바로가기),정격파워 500W 이상
7314934,INNO3D 지포스 GTX 1660 Ti D6 6GB TWIN X2,https://img.danawa.com/prod_img/500000/934/314/img/7314934_1.jpg?shrink=330:330&_v=20210504111819,829880,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=7314934&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1520121772&package=0&setpc=0&r=16678620532268,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.8,20,INNO3D ( 제조사 웹사이트 바로가기),정격파워 450W 이상
12214055,GIGABYTE AORUS 지포스 RTX 3090 Master D6X 24GB 제이씨현,https://img.danawa.com/prod_img/500000/055/214/img/12214055_1.jpg?shrink=330:330&_v=20210318171606,4590000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=12214055&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C460391478&package=0&setpc=0&r=16678618321809,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.6,3,GIGABYTE ( 제조사 웹사이트 바로가기),정격파워 750W 이상
16706999,PALIT 지포스 RTX 3090 Ti GAMEROCK D6X 24GB STCOM,https://img.danawa.com/prod_img/500000/999/706/img/16706999_1.jpg?shrink=330:330&_v=20220329220000,2560000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=16706999&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1785279879&package=0&setpc=0&r=16678603414528,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,5.0,1,PALIT ( 제조사 웹사이트 바로가기),정격파워 1000W 이상
16160780,PALIT 지포스 RTX 3080 GAMINGPRO D6X 12GB LHR,https://img.danawa.com/prod_img/500000/780/160/img/16160780_1.jpg?shrink=330:330&_v=20220121153502,1421000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=16160780&cmpnyc=COM25&safe_trade=2&fee_type=S&link_pcode=&package=0&setpc=0&r=16678599067808,㈜근호컴,https://img.danawa.com/cmpny_info/images/COM25_logo.gif,4.6,13,PALIT ( 제조사 웹사이트 바로가기),정격파워 750W 이상
5492132,AMD 라데온 PRO WX3100 D5 4GB LP,https://img.danawa.com/prod_img/500000/132/492/img/5492132_1.jpg?shrink=330:330&_v=20220512150158,292380,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=971&cate4=0&pcode=5492132&cmpnyc=PO30C&safe_trade=4&fee_type=A&link_pcode=119204&package=0&setpc=0&r=16678623113154,피시포올,https://img.danawa.com/cmpny_info/images/PO30C_logo.gif,4.2,4,AMD,
14978030,EVGA 지포스 RTX 3060 Ti FTW3 ULTRA GAMING D6 8GB LHR,https://img.danawa.com/prod_img/500000/030/978/img/14978030_1.jpg?shrink=330:330&_v=20210811140836,1549990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=14978030&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C541911055&package=0&setpc=0&r=16678610059829,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.9,16,EVGA ( 제조사 웹사이트 바로가기),정격파워 600W 이상
16986743,MSI 지포스 RTX 3090 Ti 게이밍 X 트리오 D6X 24GB 트라이프로져2,https://img.danawa.com/prod_img/500000/743/986/img/16986743_1.jpg?shrink=330:330&_v=20220504164142,1900000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=16986743&cmpnyc=TNB0E&safe_trade=4&fee_type=T&link_pcode=25517809&package=0&setpc=0&r=16678592091047,샵다나와,https://img.danawa.com/cmpny_info/images/TNB0E_logo.gif,5.0,4,MSI ( 제조사 웹사이트 바로가기),정격파워 850W 이상
14943338,PNY XLR8 지포스 RTX 3080 Ti UPRISING EPIC-X RGB D6X 12GB Triple 제이씨현,https://img.danawa.com/prod_img/500000/338/943/img/14943338_1.jpg?shrink=330:330&_v=20210810145553,1624760,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=14943338&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2191652501&package=0&setpc=0&r=16678595592419,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.3,9,PNY ( 제조사 웹사이트 바로가기),정격파워 750W 이상
17982362,GIGABYTE 지포스 RTX 4090 Gaming OC D6X 24GB 피씨디렉트,https://img.danawa.com/prod_img/500000/362/982/img/17982362_1.jpg?shrink=330:330&_v=20221013143215,2951300,http://shop.danawa.com/virtualestimate/?controller=estimate&methods=moveEstimateMiniShop&memberId=PL553&productSeq=17982362&serviceId=blog&marketPlaceSeq=33,㈜한마음아이티,https://img.danawa.com/cmpny_info/images/PL553_logo.gif,4.8,7,GIGABYTE ( 제조사 웹사이트 바로가기),정격파워 1000W 이상
16310552,갤럭시 갤라즈 GALAX 지포스 RTX 3080 EX GAMER BLACK OC D6X 12GB LHR,https://img.danawa.com/prod_img/500000/552/310/img/16310552_1.jpg?shrink=330:330&_v=20220203144237,1365990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=16310552&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4980693403&package=0&setpc=0&r=16678590348581,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,7,갤럭시 ( 제조사 웹사이트 바로가기),정격파워 750W 이상
16231571,이엠텍 지포스 RTX 3080 BLACK EDITION OC D6X 12GB LHR,https://img.danawa.com/prod_img/500000/571/231/img/16231571_1.jpg?shrink=330:330&_v=20220307130850,1378290,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=16231571&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2367121440&package=0&setpc=0&r=16678600833742,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,5.0,7,이엠텍 ( 제조사 웹사이트 바로가기),정격파워 750W 이상
