product_id,product_name,product_image,product_price,shop_link,shop_name,shop_logo,review_score,review_score_count,company_name,amd_cpu_category,cpu_socket,cpu_gen,intel_cpu_category,cpu_tdp,cpu_maximum_clock
10142334,인텔 코어X-시리즈 i9-10980XE Extreme Edition (캐스케이드레이크) (정품),https://img.danawa.com/prod_img/500000/334/142/img/10142334_1.jpg?shrink=330:330&_v=20210809170704,1606650,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=10142334&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2858892818&package=0&setpc=0&r=16678527621258,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,14,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓2066),,코어X-시리즈,165W,4.6GHz
7097410,인텔 코어i5-9세대 9400F (커피레이크-R) (벌크),https://img.danawa.com/prod_img/500000/410/097/img/7097410_1.jpg?shrink=330:330&_v=20191219171104,166320,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=7097410&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4128933463&package=0&setpc=0&r=16678523576507,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,184,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1151v2),,인텔(코어i5-9세대),65W,4.1GHz
7565248,인텔 코어i5-9세대 9600KF (커피레이크-R) (정품),https://img.danawa.com/prod_img/500000/248/565/img/7565248_1.jpg?shrink=330:330&_v=20200429104047,269990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=7565248&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C255799234&package=0&setpc=0&r=16678526013994,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.7,287,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1151v2),,인텔(코어i5-9세대),95W,4.6GHz
12151730,인텔 코어i7-10세대 10700K 어벤져스 에디션 (코멧레이크S) (정품),https://img.danawa.com/prod_img/500000/730/151/img/12151730_1.jpg?shrink=330:330&_v=20200831094530,460620,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=12151730&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1361867510&package=0&setpc=0&r=16678527786385,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.5,50,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1200),,코어i7-10세대,125W,5.1GHz
6515620,인텔 코어i5-9세대 9600K (커피레이크-R) (정품),https://img.danawa.com/prod_img/500000/620/515/img/6515620_1.jpg?shrink=330:330&_v=20200707161128,659330,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=6515620&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P5273549739&package=0&setpc=0&r=16678529592288,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.8,494,인텔 코어i5-9세대,,인텔(소켓1151v2),,인텔(코어i5-9세대),95W,4.60GHz
7517686,인텔 코어i7-9세대 9700KF (커피레이크-R) (정품),https://img.danawa.com/prod_img/500000/686/517/img/7517686_1.jpg?shrink=330:330&_v=20200429104538,485520,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=7517686&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4978194047&package=0&setpc=0&r=16678527062667,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,109,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1151v2),,인텔(코어i7-9세대),95W,4.9GHz
11824939,인텔 코어i9-10세대 10900F (코멧레이크S) (벌크),https://img.danawa.com/prod_img/500000/939/824/img/11824939_1.jpg?shrink=330:330&_v=20210118161931,501970,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=11824939&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C380119288&package=0&setpc=0&r=16678526993405,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,5.0,1,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1200),,코어i9-10세대,65W,5.2GHz
16101581,인텔 코어i9-12세대 12900F (엘더레이크) (정품),https://img.danawa.com/prod_img/500000/581/101/img/16101581_1.jpg?shrink=330:330&_v=20220725140513,784530,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=16101581&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2515526313&package=0&setpc=0&r=16678524053244,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.9,35,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1700),,코어i9-12세대,65~202W,5.1GHz
8428929,인텔 코어i7-9세대 9700 (커피레이크-R) (정품),https://img.danawa.com/prod_img/500000/929/428/img/8428929_1.jpg?shrink=330:330&_v=20200429104431,599640,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=8428929&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3940525396&package=0&setpc=0&r=16678528695177,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,119,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1151v2),,인텔(코어i7-9세대),65W,4.7GHz
7559767,인텔 코어i9-9세대 9900KF (커피레이크-R) (정품),https://img.danawa.com/prod_img/500000/767/559/img/7559767_1.jpg?shrink=330:330&_v=20200429104729,738990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=7559767&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3884162618&package=0&setpc=0&r=16678530399442,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,85,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1151v2),,인텔(코어i9-9세대),95W,5.0GHz
