product_id,product_name,product_image,product_price,shop_link,shop_name,shop_logo,review_score,review_score_count,company_name,power_rate,cable_type,power_category
12838997,3RSYS AK 800S 80PLUS STANDARD 230V EU,https://img.danawa.com/prod_img/500000/997/838/img/12838997_1.jpg?shrink=330:330&_v=20210405103607,65000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=12838997&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5565682689&package=0&setpc=0&r=16678772182764,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.8,29,3RSYS ( 제조사 웹사이트 바로가기),800W,케이블일체형,ATX 파워
11650160,맥스엘리트 MAXWELL GAMING PRO 700W 80PLUS STANDARD 플랫,https://img.danawa.com/prod_img/500000/160/650/img/11650160_1.jpg?shrink=330:330&_v=20210113154533,62000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=11650160&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4949608562&package=0&setpc=0&r=16678769491742,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.9,47,맥스엘리트 ( 제조사 웹사이트 바로가기),700W,케이블일체형,ATX 파워
12345542,스카이디지탈 파워스테이션5 PS5-500N,https://img.danawa.com/prod_img/500000/542/345/img/12345542_1.jpg?shrink=330:330&_v=20210127175952,34000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=12345542&cmpnyc=TNB0E&safe_trade=4&fee_type=T&link_pcode=23566837&package=0&setpc=0&r=16678784124066,샵다나와,https://img.danawa.com/cmpny_info/images/TNB0E_logo.gif,4.8,93,스카이디지탈 ( 제조사 웹사이트 바로가기),500W,케이블일체형,ATX 파워
4712037,마이크로닉스 COOLMAX FOCUS 500W 80Plus 230V EU,https://img.danawa.com/prod_img/500000/037/712/img/4712037_1.jpg?shrink=330:330&_v=20220119125545,39080,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=4712037&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1094743125&package=0&setpc=0&r=16678771871763,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.7,164,마이크로닉스 ( 제조사 웹사이트 바로가기),500W,케이블일체형,ATX 파워
13934357,마이크로닉스 Classic II 풀체인지 700W 80PLUS BRONZE 230V EU,https://img.danawa.com/prod_img/500000/357/934/img/13934357_1.jpg?shrink=330:330&_v=20220822165016,79940,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=13934357&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C735325572&package=0&setpc=0&r=16678767892309,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.8,195,마이크로닉스 ( 제조사 웹사이트 바로가기),700W,케이블일체형,ATX 파워
12487301,마이크로닉스 Classic II 850W 80PLUS GOLD 230V EU 풀모듈러,https://img.danawa.com/prod_img/500000/301/487/img/12487301_1.jpg?shrink=330:330&_v=20220630144812,162540,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=12487301&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C721638659&package=0&setpc=0&r=16678768074839,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.7,176,마이크로닉스 ( 제조사 웹사이트 바로가기),850W,풀모듈러,ATX 파워
13150373,topower Guardian TOP-900DG 80PLUS STANDARD,https://img.danawa.com/prod_img/500000/373/150/img/13150373_1.jpg?shrink=330:330&_v=20210827091210,89900,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=13150373&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C647200805&package=0&setpc=0&r=16678800295524,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.8,71,topower ( 제조사 웹사이트 바로가기),900W,케이블일체형,ATX 파워
1966330,마이크로닉스 Classic II 700W 80PLUS 230V EU,https://img.danawa.com/prod_img/500000/330/966/img/1966330_1.jpg?shrink=330:330&_v=20220118165916,78890,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=1966330&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B774718576&package=0&setpc=0&r=16678778379279,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.7,1108,마이크로닉스,700W,케이블일체형,ATX 파워
15301127,Antec NeoECO 850W 80PLUS GOLD 풀모듈러,https://img.danawa.com/prod_img/500000/127/301/img/15301127_1.jpg?shrink=330:330&_v=20211216125551,165000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=15301127&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1583613338&package=0&setpc=0&r=16678768886467,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.9,37,Antec ( 제조사 웹사이트 바로가기),850W,풀모듈러,ATX 파워
14901677,Antec CSK 650W 80PLUS BRONZE,https://img.danawa.com/prod_img/500000/677/901/img/14901677_1.jpg?shrink=330:330&_v=20211216124637,73000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=14901677&cmpnyc=PV606&safe_trade=4&fee_type=A&link_pcode=138619&package=0&setpc=0&r=16678776433327,초이스컴,https://img.danawa.com/cmpny_info/images/PV606_logo.gif,5.0,8,Antec ( 제조사 웹사이트 바로가기),650W,케이블일체형,ATX 파워
9515844,시소닉 FOCUS GOLD GX-850 Full Modular,https://img.danawa.com/prod_img/500000/844/515/img/9515844_1.jpg?shrink=330:330&_v=20210406172456,218000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=9515844&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5565665391&package=0&setpc=0&r=16678779565992,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,196,시소닉 ( 제조사 웹사이트 바로가기),850W,풀모듈러,ATX 파워
8802512,앱코 SUITMASTER SETTLER 600W 80PLUS Standard 230V EU,https://img.danawa.com/prod_img/500000/512/802/img/8802512_1.jpg?shrink=330:330&_v=20210721164803,45000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=8802512&cmpnyc=TT347F&safe_trade=4&fee_type=N&link_pcode=4851187006&package=0&setpc=0&r=16678771513695,컴센터,,4.7,190,앱코 ( 제조사 웹사이트 바로가기),600W,케이블일체형,ATX 파워
12676532,GIGABYTE P750GM 80PLUS GOLD 풀모듈러,https://img.danawa.com/prod_img/500000/532/676/img/12676532_1.jpg?shrink=330:330&_v=20210119124540,92360,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=12676532&cmpnyc=PS114&safe_trade=4&fee_type=A&link_pcode=141240&package=0&setpc=0&r=16678787776203,플레이몰,https://img.danawa.com/cmpny_info/images/PS114_logo.gif,4.7,18,GIGABYTE ( 제조사 웹사이트 바로가기),750W,풀모듈러,ATX 파워
12690251,3RSYS AK 700S 80PLUS STANDARD 230V EU,https://img.danawa.com/prod_img/500000/251/690/img/12690251_1.jpg?shrink=330:330&_v=20210405103702,55000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=12690251&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5565681844&package=0&setpc=0&r=16678782357157,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,5.0,4,3RSYS ( 제조사 웹사이트 바로가기),700W,케이블일체형,ATX 파워
5158596,FSP HYPER K 700W 80PLUS Standard 230V EU,https://img.danawa.com/prod_img/500000/596/158/img/5158596_1.jpg?shrink=330:330&_v=20210107093641,81900,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=5158596&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5489029856&package=0&setpc=0&r=16678770432353,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.8,363,FSP ( 제조사 웹사이트 바로가기),700W,케이블일체형,ATX 파워
6100302,Antec EAG PRO 750W 80PLUS GOLD 모듈러,https://img.danawa.com/prod_img/500000/302/100/img/6100302_1.jpg?shrink=330:330&_v=20211216125327,140380,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=6100302&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1407105756&package=0&setpc=0&r=16678789873017,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,205,Antec,750W,세미모듈러,ATX 파워
9515841,시소닉 FOCUS GOLD GX-750 Full Modular,https://img.danawa.com/prod_img/500000/841/515/img/9515841_1.jpg?shrink=330:330&_v=20210406133253,158000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=9515841&cmpnyc=TT6461&safe_trade=4&fee_type=N&link_pcode=6453393351&package=0&setpc=0&r=16678769183327,SJSYSTEM,,4.8,173,시소닉 ( 제조사 웹사이트 바로가기),750W,풀모듈러,ATX 파워
8804612,맥스엘리트 MAXWELL GAMING PRO 600W 80PLUS STANDARD 플랫,https://img.danawa.com/prod_img/500000/612/804/img/8804612_1.jpg?shrink=330:330&_v=20210113154129,52790,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=8804612&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2612084735&package=0&setpc=0&r=16678772059893,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,105,맥스엘리트 ( 제조사 웹사이트 바로가기),600W,케이블일체형,ATX 파워
12690239,3RSYS AK 600S 80PLUS STANDARD 230V EU,https://img.danawa.com/prod_img/500000/239/690/img/12690239_1.jpg?shrink=330:330&_v=20210405103725,44000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=12690239&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5565683415&package=0&setpc=0&r=16678785633252,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.5,7,3RSYS ( 제조사 웹사이트 바로가기),600W,케이블일체형,ATX 파워
9498231,에너맥스 REVOLUTION D.F. ERF750EWT 80Plus Gold Full Modular,https://img.danawa.com/prod_img/500000/231/498/img/9498231_1.jpg?shrink=330:330&_v=20220426092801,135000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=9498231&cmpnyc=TS9A6&safe_trade=4&fee_type=N&link_pcode=5023371266&package=0&setpc=0&r=16678774859381,SCM스토어,,4.8,142,에너맥스 ( 제조사 웹사이트 바로가기),750W,풀모듈러,ATX 파워
11227005,마이크로닉스 Classic II 700W 80PLUS 230V EU 화이트,https://img.danawa.com/prod_img/500000/005/227/img/11227005_1.jpg?shrink=330:330&_v=20220118165636,82500,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=11227005&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1803874064&package=0&setpc=0&r=16678777929652,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,33,마이크로닉스 ( 제조사 웹사이트 바로가기),700W,케이블일체형,ATX 파워
8804528,맥스엘리트 MAXWELL GAMING PRO 500W 80PLUS STANDARD 플랫,https://img.danawa.com/prod_img/500000/528/804/img/8804528_1.jpg?shrink=330:330&_v=20210113153757,45450,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=8804528&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2612084974&package=0&setpc=0&r=16678771583734,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,102,맥스엘리트 ( 제조사 웹사이트 바로가기),500W,케이블일체형,ATX 파워
4897140,HOPELY 600A 벌크,https://img.danawa.com/prod_img/500000/140/897/img/4897140_1.jpg?shrink=330:330&_v=20210202162101,17270,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=4897140&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5487295132&package=0&setpc=0&r=16678804799149,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.8,22,HOPELY,200W,케이블일체형,ATX 파워
