product_id,product_name,product_image,product_price,shop_link,shop_name,shop_logo,review_score,review_score_count,company_name,ssd_capacity,ssd_type
13161353,SK하이닉스 Gold P31 M.2 NVMe (500GB),https://img.danawa.com/prod_img/500000/353/161/img/13161353_1.jpg?shrink=330:330&_v=20220531155635,79000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=13161353&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2052150416&package=0&setpc=0&r=16678691496472,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,1194,SK하이닉스 ( 제조사 웹사이트 바로가기),500GB,DDR4
10120452,Western Digital WD BLUE SN550 M.2 NVMe (500GB),https://img.danawa.com/prod_img/500000/452/120/img/10120452_1.jpg?shrink=330:330&_v=20210903180124,65000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=10120452&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=11803583602&package=0&setpc=0&r=16678697961312,티몬,https://img.danawa.com/cmpny_info/images/TN920_logo.gif,4.7,469,Western Digital ( 제조사 웹사이트 바로가기),500GB,
13344977,삼성전자 PM9A1 M.2 NVMe 병행수입 (512GB),https://img.danawa.com/prod_img/500000/977/344/img/13344977_1.jpg?shrink=330:330&_v=20210208192433,73000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=59330&cate4=0&pcode=13344977&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=14637696698&package=0&setpc=0&r=16678691634183,티몬,https://img.danawa.com/cmpny_info/images/TN920_logo.gif,4.8,972,삼성전자 ( 제조사 웹사이트 바로가기),512GB,
5791864,마이크론 Crucial MX500 대원씨티에스 (500GB),https://img.danawa.com/prod_img/500000/864/791/img/5791864_1.jpg?shrink=330:330&_v=20220830161733,56690,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=5791864&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=5109405288&package=0&setpc=0&r=16678692099771,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,2634,마이크론 Crucial,500GB,
10034457,리뷰안 M.2 PCIe 어댑터 (EX2M1) (SSD미포함),https://img.danawa.com/prod_img/500000/457/034/img/10034457_1.jpg?shrink=330:330&_v=20211116151214,11890,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32625&cate4=0&pcode=10034457&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2651809657&package=0&setpc=0&r=16678713631764,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.6,101,리뷰안 ( 제조사 웹사이트 바로가기),,
12339347,삼성전자 980 PRO M.2 NVMe (1TB),https://img.danawa.com/prod_img/500000/347/339/img/12339347_1.jpg?shrink=330:330&_v=20210804100054,181000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=12339347&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4662666126&package=0&setpc=0&r=16678691777900,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,1252,삼성전자,1TB,DDR4 1GB
13161338,SK하이닉스 Gold P31 M.2 NVMe (1TB),https://img.danawa.com/prod_img/500000/338/161/img/13161338_1.jpg?shrink=330:330&_v=20220113111434,155000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=13161338&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3766288155&package=0&setpc=0&r=16678691442489,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,1294,SK하이닉스 ( 제조사 웹사이트 바로가기),1TB,DDR4
13562693,삼성전자 980 M.2 NVMe (500GB),https://img.danawa.com/prod_img/500000/693/562/img/13562693_1.jpg?shrink=330:330&_v=20210422125316,61290,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=13562693&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C606885064&package=0&setpc=0&r=16678691153654,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.8,985,삼성전자 ( 제조사 웹사이트 바로가기),500GB,
11197458,SK하이닉스 PC601 M.2 NVMe 벌크 (256GB),https://img.danawa.com/prod_img/500000/458/197/img/11197458_1.jpg?shrink=330:330&_v=20200617131156,29910,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=59330&cate4=0&pcode=11197458&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4943534300&package=0&setpc=0&r=16678716352909,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,414,SK하이닉스,256GB,
13276568,삼성전자 PM9A1 M.2 NVMe 병행수입 (1TB),https://img.danawa.com/prod_img/500000/568/276/img/13276568_1.jpg?shrink=330:330&_v=20221017171819,121100,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=59330&cate4=0&pcode=13276568&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=14637696702&package=0&setpc=0&r=16678691599994,티몬,https://img.danawa.com/cmpny_info/images/TN920_logo.gif,4.8,677,삼성전자 ( 제조사 웹사이트 바로가기),1TB,
