product_id,product_name,product_image,product_price,shop_link,shop_name,shop_logo,review_score,review_score_count,company_name,cooling_type,cooler_height,cooler_tdp,cooler_fan_size
6911740,CORSAIR VENGEANCE RGB PRO Light Enhancement Kit (White),https://img.danawa.com/prod_img/500000/740/911/img/6911740_1.jpg?shrink=330:330&_v=20220914160613,101450,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13668&cate4=0&pcode=6911740&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1082036375&package=0&setpc=0&r=16678874643058,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,5.0,1,CORSAIR ( 제조사 웹사이트 바로가기),,,,
9862893,CORSAIR iCUE SP120 RGB PRO (3PACK/Controller),https://img.danawa.com/prod_img/500000/893/862/img/9862893_1.jpg?shrink=330:330&_v=20200109091153,100000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=9862893&cmpnyc=TSC132&safe_trade=4&fee_type=N&link_pcode=4814129620&package=0&setpc=0&r=16678880363281,SYSGEAR,,5.0,1,CORSAIR ( 제조사 웹사이트 바로가기),,,,
16841198,3RSYS Socoool GT 240 RGB (WHITE),https://img.danawa.com/prod_img/500000/198/841/img/16841198_1.jpg?shrink=330:330&_v=20220628140826,50600,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=16841198&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565701468&package=0&setpc=0&r=16678818867139,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.5,2,3RSYS ( 제조사 웹사이트 바로가기),수랭,,280W,120mm
10386900,에너맥스 AQUAFUSION 360 ARGB,https://img.danawa.com/prod_img/500000/900/386/img/10386900_1.jpg?shrink=330:330&_v=20220913175349,155000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=10386900&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P2114880780&package=0&setpc=0&r=16678878902249,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.3,8,에너맥스 ( 제조사 웹사이트 바로가기),수랭,,350W,120mm x3
7366861,CORSAIR LL120 RGB WHITE (3PACK/Controller),https://img.danawa.com/prod_img/500000/861/366/img/7366861_1.jpg?shrink=330:330&_v=20220816164727,155990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=7366861&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B696213962&package=0&setpc=0&r=16678849164444,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.7,22,CORSAIR,,,,
5523689,쿨러마스터 MasterLiquid ML120L RGB,https://img.danawa.com/prod_img/500000/689/523/img/5523689_1.jpg?shrink=330:330&_v=20191122100312,105460,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=5523689&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C266866622&package=0&setpc=0&r=16678873853344,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.3,9,쿨러마스터,수랭,,,120mm
5400796,CORSAIR RGB LED PRO 확장 키트,https://img.danawa.com/prod_img/500000/796/400/img/5400796_1.jpg?shrink=330:330&_v=20190605092706,106850,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13668&cate4=0&pcode=5400796&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1082034155&package=0&setpc=0&r=16678883123383,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,5.0,2,CORSAIR,,,,
5606431,CORSAIR LL140 RGB (1PACK),https://img.danawa.com/prod_img/500000/431/606/img/5606431_1.jpg?shrink=330:330&_v=20190318100948,54990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=5606431&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B634009925&package=0&setpc=0&r=16678846159299,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.7,9,CORSAIR,,,,
15334091,NZXT KRAKEN Z73 RGB (Matte Black),https://img.danawa.com/prod_img/500000/091/334/img/15334091_1.jpg?shrink=330:330&_v=20220930144754,557290,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=15334091&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4395862874&package=0&setpc=0&r=16678817881044,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,7,NZXT ( 제조사 웹사이트 바로가기),수랭,,,120mm x3
15785705,CORSAIR iCUE H170i ELITE LCD,https://img.danawa.com/prod_img/500000/705/785/img/15785705_1.jpg?shrink=330:330&_v=20220926155115,451000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=15785705&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2345007316&package=0&setpc=0&r=16678889486922,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.5,2,CORSAIR ( 제조사 웹사이트 바로가기),수랭,,,140mm x3
7184014,Fractal Design Venturi HF-14B,https://img.danawa.com/prod_img/500000/014/184/img/7184014_1.jpg?shrink=330:330&_v=20190207103758,55150,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=7184014&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P330927762&package=0&setpc=0&r=16678885782367,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,5.0,2,Fractal Design ( 제조사 웹사이트 바로가기),,,,
7946788,ASUS ROG STRIX LC 240,https://img.danawa.com/prod_img/500000/788/946/img/7946788_1.jpg?shrink=330:330&_v=20210902143023,223000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=7946788&cmpnyc=TSC132&safe_trade=4&fee_type=N&link_pcode=4521432174&package=0&setpc=0&r=16678883021471,SYSGEAR,,5.0,5,ASUS ( 제조사 웹사이트 바로가기),수랭,,,120mm
15298601,NZXT KRAKEN X63 RGB (Matte White),https://img.danawa.com/prod_img/500000/601/298/img/15298601_1.jpg?shrink=330:330&_v=20221004092510,284720,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=15298601&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565693527&package=0&setpc=0&r=16678835388643,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,5.0,3,NZXT ( 제조사 웹사이트 바로가기),수랭,,,140mm x2
14400503,JONSBO TW4-240 COLOR (WHITE),https://img.danawa.com/prod_img/500000/503/400/img/14400503_1.jpg?shrink=330:330&_v=20220706145734,57000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=14400503&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P6005816522&package=0&setpc=0&r=16678844469057,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.6,3,JONSBO ( 제조사 웹사이트 바로가기),수랭,,,120mm x2
6315182,리안리 BORA LITE 120 RGB FAN SILVER (3PACK),https://img.danawa.com/prod_img/500000/182/315/img/6315182_1.jpg?shrink=330:330&_v=20190806111323,57310,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=6315182&cmpnyc=TNB0E&safe_trade=4&fee_type=T&link_pcode=23982276&package=0&setpc=0&r=16678879376385,샵다나와,https://img.danawa.com/cmpny_info/images/TNB0E_logo.gif,4.5,4,리안리,,,,
13843349,ASUS ROG STRIX LC II 280 ARGB,https://img.danawa.com/prod_img/500000/349/843/img/13843349_1.jpg?shrink=330:330&_v=20220707170131,284920,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=13843349&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C323616642&package=0&setpc=0&r=16678848347486,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,5.0,1,ASUS ( 제조사 웹사이트 바로가기),수랭,,,140mm x2
9961569,PCCOOLER GI-CX360 ARGB,https://img.danawa.com/prod_img/500000/569/961/img/9961569_1.jpg?shrink=330:330&_v=20220930103703,119000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=9961569&cmpnyc=COM25&safe_trade=2&fee_type=S&link_pcode=&package=0&setpc=0&r=16678879494218,㈜근호컴,https://img.danawa.com/cmpny_info/images/COM25_logo.gif,4.6,16,PCCOOLER ( 제조사 웹사이트 바로가기),수랭,,,120mm x3
7069039,SCYTHE MUGEN 5 TUF Gaming,https://img.danawa.com/prod_img/500000/039/069/img/7069039_1.jpg?shrink=330:330&_v=20190314154618,177500,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=7069039&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1333067620&package=0&setpc=0&r=16678875505566,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.8,5,SCYTHE ( 제조사 웹사이트 바로가기),공랭,높이 157.5mm,,120mm
5900615,ID-COOLING DASHFLOW 240 RGB,https://img.danawa.com/prod_img/500000/615/900/img/5900615_1.jpg?shrink=330:330&_v=20190919142716,182000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=5900615&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P78859614&package=0&setpc=0&r=16678880521922,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,5.0,2,ID-COOLING,수랭,,TDP 350W,120mm
6389101,쿨러마스터 MasterLiquid ML360R RGB 컨트롤러,https://img.danawa.com/prod_img/500000/101/389/img/6389101_1.jpg?shrink=330:330&_v=20191122100113,185000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=6389101&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P241303789&package=0&setpc=0&r=16678880978099,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.6,27,쿨러마스터,수랭,,,120mm
5387292,써멀테이크 Riing Plus 12 RGB TT 프리미엄 에디션 (3PACK/Controller),https://img.danawa.com/prod_img/500000/292/387/img/5387292_1.jpg?shrink=330:330&_v=20200207160032,126050,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=5387292&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P241649694&package=0&setpc=0&r=16678903597129,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,5.0,8,써멀테이크,,,,
13073786,ASUS TUF Gaming LC 120 RGB,https://img.danawa.com/prod_img/500000/786/073/img/13073786_1.jpg?shrink=330:330&_v=20220708154347,124440,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=13073786&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P5213270389&package=0&setpc=0&r=16678847787030,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,5.0,1,ASUS ( 제조사 웹사이트 바로가기),수랭,,,120mm x1
15298304,NZXT KRAKEN X53 RGB (Matte White),https://img.danawa.com/prod_img/500000/304/298/img/15298304_1.jpg?shrink=330:330&_v=20221004092433,253810,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=15298304&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5565693528&package=0&setpc=0&r=16678827005604,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,5.0,1,NZXT ( 제조사 웹사이트 바로가기),수랭,,,120mm x2
6537512,쿨러마스터 Hyper 212 RGB Black Edition,https://img.danawa.com/prod_img/500000/512/537/img/6537512_1.jpg?shrink=330:330&_v=20181023121621,64520,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=6537512&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=6319518819&package=0&setpc=0&r=16678882349061,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.8,12,쿨러마스터,공랭,,,120mm
17559470,be quiet PURE ROCK 2 FX,https://img.danawa.com/prod_img/500000/470/559/img/17559470_1.jpg?shrink=330:330&_v=20220802075017,64260,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=17559470&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4751416109&package=0&setpc=0&r=16678818106071,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,5.0,1,be quiet ( 제조사 웹사이트 바로가기),공랭,155mm,150W,120mm x1
15937877,Thermalright AXP90-X47 FULL 서린,https://img.danawa.com/prod_img/500000/877/937/img/15937877_1.jpg?shrink=330:330&_v=20220620160243,66500,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=15937877&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2345010702&package=0&setpc=0&r=16678835245766,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,5.0,2,Thermalright ( 제조사 웹사이트 바로가기),공랭,47mm,,92mm
7964233,MSI 레인보우 미스틱 120 ARGB (3PACK),https://img.danawa.com/prod_img/500000/233/964/img/7964233_1.jpg?shrink=330:330&_v=20210226140445,66000,http://shop.danawa.com/virtualestimate/?controller=estimate&methods=moveEstimateMiniShop&memberId=PL553&productSeq=7964233&serviceId=blog&marketPlaceSeq=33,㈜한마음아이티,https://img.danawa.com/cmpny_info/images/PL553_logo.gif,3.3,6,MSI ( 제조사 웹사이트 바로가기),,,,
2685048,NZXT KRAKEN X61,https://img.danawa.com/prod_img/500000/048/685/img/2685048_1.jpg?shrink=330:330&_v=20150126175202,201030,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=2685048&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=3815900235&package=0&setpc=0&r=16678875617380,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,3.5,2,NZXT,수랭,,,2 x 140mm
14400074,JONSBO SHADOW 240 ARGB (BLACK),https://img.danawa.com/prod_img/500000/074/400/img/14400074_1.jpg?shrink=330:330&_v=20220706153943,67500,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=14400074&cmpnyc=PR805&safe_trade=4&fee_type=A&link_pcode=5565689280&package=0&setpc=0&r=16678846356723,아이스타피씨,https://img.danawa.com/cmpny_info/images/PR805_logo.gif,5.0,1,JONSBO ( 제조사 웹사이트 바로가기),수랭,,,120mm x2
