,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,냉각 방식,상세정보쿨러 높이,상세정보TDP,상세정보팬 크기,인텔 소켓LGA1700,인텔 소켓LGA1200,인텔 소켓LGA115x,인텔 소켓LGA2066,인텔 소켓LGA2011-V3,인텔 소켓LGA775,인텔 소켓LGA2011,인텔 소켓LGA1366,AMD 소켓AM4,AMD 소켓AM5,AMD 소켓FMx/AMx(AM1/4외),AMD 소켓sTRX4,AMD 소켓TR4,AMD 소켓AM1,review_size,review_mean,review_count,final_score,Test,Rank
525,14680634,NOCTUA NH-P1,2021년 07월,https://img.danawa.com/prod_img/500000/634/680/img/14680634_1.jpg?shrink=330:330&_v=20221027123340,155290.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=14680634&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2493026707&package=0&setpc=0&r=16678893445147,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,5.0,(2),NOCTUA ( 제조사 웹사이트 바로가기),공랭,158mm,,,○,○,○,○,○,,○,,○,○,,,,,12,0.08,14,20.699720966634917,0.31775387983772296,526
526,14441402,에너맥스 ETS-F40-FS ARGB (화이트),2021년 06월,https://img.danawa.com/prod_img/500000/402/441/img/14441402_1.jpg?shrink=330:330&_v=20220629090035,51990.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=14441402&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C640445034&package=0&setpc=0&r=16678820168596,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.6,(11),에너맥스 ( 제조사 웹사이트 바로가기),공랭,158mm,200W,140mm,○,○,○,○,○,○,○,○,○,,○,,,,4,0.0,15,13.888429052589188,0.31559915368340064,527
527,10061403,JONSBO CR-1100 ARGB (GREY),2019년 12월,https://img.danawa.com/prod_img/500000/403/061/img/10061403_1.jpg?shrink=330:330&_v=20200612155229,79450.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=10061403&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1484618430&package=0&setpc=0&r=16678878549042,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,5.0,(4),JONSBO ( 제조사 웹사이트 바로가기),공랭,165mm,200W,120mm,,○,○,,,○,,,○,,○,,,,6,-0.33,10,12.811237894516092,0.3140088105726872,528
528,6687223,Antec PRIZM 120 ARGB (5PACK/Controller),2018년 11월,https://img.danawa.com/prod_img/500000/223/687/img/6687223_1.jpg?shrink=330:330&_v=20200803133735,93190.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=6687223&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5525237620&package=0&setpc=0&r=16678848226676,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.1,(7),Antec ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,7,0.14,14,14.480349822120033,0.31142826483528274,529
529,12712613,리안리 UNI FAN SL140 WHITE (2PACK/Controller),2020년 11월,https://img.danawa.com/prod_img/500000/613/712/img/12712613_1.jpg?shrink=330:330&_v=20201214094946,93500.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=12712613&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2420631388&package=0&setpc=0&r=16678838885265,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.5,(4),리안리 ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,7,0.29,11,13.30881299969568,0.3106951871657754,530
530,12712553,리안리 UNI FAN SL140 BLACK (2PACK/Controller),2020년 11월,https://img.danawa.com/prod_img/500000/553/712/img/12712553_1.jpg?shrink=330:330&_v=20201214094957,93500.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=12712553&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P4604714476&package=0&setpc=0&r=16678842369793,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.2,(5),리안리 ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,7,0.43,12,10.344578949286616,0.3106951871657754,531
531,4279546,앱코 SUITMASTER AIRFLOW RGB REMOTE KIT,2016년 07월,https://img.danawa.com/prod_img/500000/546/279/img/4279546_1.jpg?shrink=330:330&_v=20170817091115,13220.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=4279546&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5468206177&package=0&setpc=0&r=16678862367136,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.4,(20),앱코 SUITMASTER,,,,,,,,,,,,,,,,,,,1,1.0,21,14.236375737470894,0.3102874432677761,532
532,9775374,3RSYS MOON FAN 2 200 RGB,2019년 10월,https://img.danawa.com/prod_img/500000/374/775/img/9775374_1.jpg?shrink=330:330&_v=20191031170305,13340.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=9775374&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C755860326&package=0&setpc=0&r=16678850877933,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.7,(27),3RSYS ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,1,0.0,28,18.86863550465996,0.3101949025487256,533
533,10480116,ALSEYE MAX M120-P KIT 투명 (3PACK/Controller),2020년 02월,https://img.danawa.com/prod_img/500000/116/480/img/10480116_1.jpg?shrink=330:330&_v=20200812155145,65630.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=10480116&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P4655013624&package=0&setpc=0&r=16678885992635,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.5,(20),ALSEYE ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,5,-0.2,25,19.624304140586744,0.30930976687490475,534
534,13734809,MSI MPG 코어리퀴드 K360,2021년 03월,https://img.danawa.com/prod_img/500000/809/734/img/13734809_1.jpg?shrink=330:330&_v=20220708100853,225400.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=13734809&cmpnyc=TN729&safe_trade=4&fee_type=T&link_pcode=1962560191_1962560191&package=0&setpc=0&r=16678833068204,위메프,https://img.danawa.com/cmpny_info/images/TN729_logo.gif,4.7,(8),MSI ( 제조사 웹사이트 바로가기),수랭,,,120mm x3,○,○,○,○,○,,○,○,○,,○,○,○,,17,-0.12,25,18.119619534626203,0.3071162377994676,535
