,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,기본 사양CPU 소켓,메모리메모리 종류,review_size,review_mean,review_count,final_score,Test,Rank
109,17025563,BIOSTAR B660MX-E PRO D4 이엠텍,2022년 05월,https://img.danawa.com/prod_img/500000/563/025/img/17025563_1.jpg?shrink=330:330&_v=20220511143638,130230.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=17025563&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4444066883&package=0&setpc=0&r=16678635356235,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,5.0,(3),BIOSTAR ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4,12,-0.08,15,16.02627211443903,0.3772402672195347,110
110,11636132,ASRock B550M 스틸레전드 디앤디컴,2020년 06월,https://img.danawa.com/prod_img/500000/132/636/img/11636132_1.jpg?shrink=330:330&_v=20220518144624,244970.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=11636132&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4517439093&package=0&setpc=0&r=16678650256858,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(19),ASRock ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,22,-0.05,41,10.863596071110244,0.3682083520431073,111
111,16094537,ASRock B660M-HDV D4 디앤디컴,2022년 01월,https://img.danawa.com/prod_img/500000/537/094/img/16094537_1.jpg?shrink=330:330&_v=20220121131458,112110.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16094537&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=14121340494&package=0&setpc=0&r=16678634826094,티몬,https://img.danawa.com/cmpny_info/images/TN920_logo.gif,5.0,(12),ASRock ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4,10,0.0,22,14.516208693769617,0.3616091338863616,112
112,6978235,ASRock A320M-HDV R4.0 디앤디컴,2018년 12월,https://img.danawa.com/prod_img/500000/235/978/img/6978235_1.jpg?shrink=330:330&_v=20220527085758,104950.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=6978235&cmpnyc=TN729&safe_trade=4&fee_type=T&link_pcode=2169372623_2169372623&package=0&setpc=0&r=16678675771986,위메프,https://img.danawa.com/cmpny_info/images/TN729_logo.gif,4.7,(43),ASRock ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,9,-0.11,52,12.396861492679925,0.35639828489757025,113
113,12487823,ASRock B550M Phantom Gaming 4 디앤디컴,2020년 10월,https://img.danawa.com/prod_img/500000/823/487/img/12487823_1.jpg?shrink=330:330&_v=20220518144553,191750.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=12487823&cmpnyc=TN729&safe_trade=4&fee_type=T&link_pcode=2169366364_2169366364&package=0&setpc=0&r=16678673451018,위메프,https://img.danawa.com/cmpny_info/images/TN729_logo.gif,4.9,(21),ASRock ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,16,-0.06,37,11.66949594589768,0.3454498044328553,114
114,16344509,GIGABYTE B660 GAMING X D4 제이씨현,2022년 02월,https://img.danawa.com/prod_img/500000/509/344/img/16344509_1.jpg?shrink=330:330&_v=20220428174646,189000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16344509&cmpnyc=TS9A6&safe_trade=4&fee_type=N&link_pcode=6281140868&package=0&setpc=0&r=16678634969694,SCM스토어,,4.9,(12),GIGABYTE ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4,16,0.0,28,12.652478512003368,0.34404232804232804,115
115,9769749,ASRock B450M PRO4-F 디앤디컴,2019년 10월,https://img.danawa.com/prod_img/500000/749/769/img/9769749_1.jpg?shrink=330:330&_v=20201229141259,108740.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=9769749&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1493759815&package=0&setpc=0&r=16678652529373,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.5,(21),ASRock ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,9,0.33,30,14.074457658048486,0.34248666544050027,116
116,11223594,MSI MPG Z490 게이밍 엣지 WiFi,2020년 05월,https://img.danawa.com/prod_img/500000/594/223/img/11223594_1.jpg?shrink=330:330&_v=20210625165059,263060.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=11223594&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=5085141107&package=0&setpc=0&r=16678655308035,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(57),MSI ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4,22,-0.09,79,17.500672415220546,0.34205124306241924,117
117,13423823,ASUS PRIME H510M-A 코잇,2021년 02월,https://img.danawa.com/prod_img/500000/823/423/img/13423823_1.jpg?shrink=330:330&_v=20210903110556,95390.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=13423823&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C723854662&package=0&setpc=0&r=16678661759881,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,5.0,(17),ASUS ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4,8,0.0,25,16.262482357657756,0.3406646398993605,118
118,8507295,ASRock X570 Taichi 에즈윈,2019년 07월,https://img.danawa.com/prod_img/500000/295/507/img/8507295_1.jpg?shrink=330:330&_v=20210716163408,429990.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=8507295&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C561820345&package=0&setpc=0&r=16678661576256,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.7,(26),ASRock ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,35,-0.2,61,12.021706369298832,0.33437986929928604,119
