,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,정격출력,[커넥터]케이블연결,제품 분류,review_size,review_mean,review_count,final_score,Test,Rank
131,12573677,쿨러마스터 V750 SFX GOLD,2020년 10월,https://img.danawa.com/prod_img/500000/677/573/img/12573677_1.jpg?shrink=330:330&_v=20201126150221,176600.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=998&cate4=0&pcode=12573677&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P5354973280&package=0&setpc=0&r=16678781185504,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.8,(7),쿨러마스터 ( 제조사 웹사이트 바로가기),750W,풀모듈러,M-ATX(SFX) 파워,15,-0.13,22,13.039340858952254,0.3516421291053228,132
132,16362158,Antec NeoECO 750W 80PLUS GOLD 풀모듈러,2022년 02월,https://img.danawa.com/prod_img/500000/158/362/img/16362158_1.jpg?shrink=330:330&_v=20220210092243,138890.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=16362158&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2434666001&package=0&setpc=0&r=16678773054165,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.9,(23),Antec ( 제조사 웹사이트 바로가기),750W,풀모듈러,ATX 파워,12,0.08,35,13.561063652217245,0.3511267909856721,133
133,9647631,스카이디지탈 파워스테이션5 PS5-850RV 80PLUS GOLD FULL MODULAR,2019년 10월,https://img.danawa.com/prod_img/500000/631/647/img/9647631_1.jpg?shrink=330:330&_v=20210826123551,118810.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=9647631&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5565665970&package=0&setpc=0&r=16678784183116,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.2,(7),스카이디지탈 ( 제조사 웹사이트 바로가기),850W,풀모듈러,ATX 파워,10,0.0,17,15.159205830419635,0.34828718121370256,134
134,15298397,SuperFlower SF-1000F14TP LEADEX V PRO PLATINUM WHITE,2021년 09월,https://img.danawa.com/prod_img/500000/397/298/img/15298397_1.jpg?shrink=330:330&_v=20220929155348,264390.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=15298397&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2326721243&package=0&setpc=0&r=16678779232725,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,5.0,(11),SuperFlower ( 제조사 웹사이트 바로가기),1000W,풀모듈러,ATX 파워,22,-0.14,33,14.386675601149488,0.3438254094330345,135
135,10506012,SuperFlower SF-750F14HG LEADEX III GOLD WHITE,2020년 02월,https://img.danawa.com/prod_img/500000/012/506/img/10506012_1.jpg?shrink=330:330&_v=20211029135100,143990.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=10506012&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2405248731&package=0&setpc=0&r=16678776103143,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,(25),SuperFlower ( 제조사 웹사이트 바로가기),750W,풀모듈러,ATX 파워,12,-0.17,37,11.894517611239058,0.33835683033543995,136
136,11742521,에너지옵티머스 EXCEL 500W,2020년 07월,https://img.danawa.com/prod_img/500000/521/742/img/11742521_1.jpg?shrink=330:330&_v=20210413104410,37000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=11742521&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C255869214&package=0&setpc=0&r=16678802826943,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.5,(17),에너지옵티머스 ( 제조사 웹사이트 바로가기),500W,케이블일체형,ATX 파워,3,-0.33,20,15.980145476583845,0.3332432432432432,137
137,12400748,쿨러마스터 MWE 650 BRONZE V2 230V,2020년 10월,https://img.danawa.com/prod_img/500000/748/400/img/12400748_1.jpg?shrink=330:330&_v=20210107134613,62500.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=12400748&cmpnyc=TU111&safe_trade=4&fee_type=N&link_pcode=5325590462&package=0&setpc=0&r=16678771932787,히트정보,,4.7,(12),쿨러마스터 ( 제조사 웹사이트 바로가기),650W,케이블일체형,ATX 파워,5,-0.4,17,14.48255767615816,0.3312,138
138,5655273,아이구주 ELPIS SP-700GX 80PLUS Standard 230V EU,2017년 11월,https://img.danawa.com/prod_img/500000/273/655/img/5655273_1.jpg?shrink=330:330&_v=20210107111110,63020.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=5655273&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2434667587&package=0&setpc=0&r=16678791643110,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,(32),아이구주,700W,케이블일체형,ATX 파워,5,0.0,37,19.95913372309422,0.32878451285306254,139
139,11844925,마이크로닉스 ASTRO GD 750W 80PLUS GOLD 풀모듈러 FDB 화이트,2020년 07월,https://img.danawa.com/prod_img/500000/925/844/img/11844925_1.jpg?shrink=330:330&_v=20220119132145,138000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=11844925&cmpnyc=TU4A5&safe_trade=4&fee_type=N&link_pcode=5294304103&package=0&setpc=0&r=16678781304153,TJ21,,5.0,(5),마이크로닉스 ( 제조사 웹사이트 바로가기),750W,풀모듈러,ATX 파워,11,-0.27,16,18.93422528158756,0.32760869565217393,140
140,9363774,쿨러마스터 MWE 650 WHITE 230V V2,2019년 08월,https://img.danawa.com/prod_img/500000/774/363/img/9363774_1.jpg?shrink=330:330&_v=20211025092754,51000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=9363774&cmpnyc=TU111&safe_trade=4&fee_type=N&link_pcode=4753863573&package=0&setpc=0&r=16678791095909,히트정보,,4.8,(30),쿨러마스터 ( 제조사 웹사이트 바로가기),650W,케이블일체형,ATX 파워,4,0.0,34,17.9968084996811,0.32298039215686275,141
