,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,전력 관련권장 파워용량,review_size,review_mean,review_count,final_score,Test,Rank
364,14379902,GIGABYTE 지포스 RTX 3080 Ti VISION OC D6X 12GB 제이씨현,2021년 06월,https://img.danawa.com/prod_img/500000/902/379/img/14379902_1.jpg?shrink=330:330&_v=20210603220201,1772020.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=14379902&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1520121094&package=0&setpc=0&r=16678608719885,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,5.0,(2),GIGABYTE ( 제조사 웹사이트 바로가기),정격파워 750W 이상,16,0.31,18,18.42582826132505,0.03703795668220449,365
365,15359087,EVGA 지포스 RTX 3070 XC3 ULTRA GAMING D6 8GB LHR,2021년 10월,https://img.danawa.com/prod_img/500000/087/359/img/15359087_1.jpg?shrink=330:330&_v=20211001144914,787200.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=15359087&cmpnyc=PO20D&safe_trade=2&fee_type=S&link_pcode=&package=0&setpc=0&r=16678598583826,컴투유,https://img.danawa.com/cmpny_info/images/PO20D_logo.gif,4.5,(4),EVGA ( 제조사 웹사이트 바로가기),정격파워 650W 이상,7,0.0,11,18.77688211910446,0.036831808943089434,366
366,14379896,GIGABYTE AORUS 지포스 RTX 3080 Ti Master D6X 12GB 제이씨현,2021년 06월,https://img.danawa.com/prod_img/500000/896/379/img/14379896_1.jpg?shrink=330:330&_v=20210712141731,2122100.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=14379896&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2331363074&package=0&setpc=0&r=16678611578084,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,5.0,(8),GIGABYTE ( 제조사 웹사이트 바로가기),정격파워 850W 이상,19,0.11,27,17.45132619663197,0.03672682719947222,367
367,14694815,ZOTAC GAMING 지포스 RTX 3080 Ti Trinity OC D6X 12GB,2021년 07월,https://img.danawa.com/prod_img/500000/815/694/img/14694815_1.jpg?shrink=330:330&_v=20210708150557,1918990.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=14694815&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C513934136&package=0&setpc=0&r=16678609923979,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.7,(37),ZOTAC ( 제조사 웹사이트 바로가기),정격파워 750W 이상,17,-0.06,54,18.357010420521327,0.03642749571389116,368
368,17182871,GAINWARD 지포스 RTX 3070 Ti 팬텀 D6X 8GB,2022년 06월,https://img.danawa.com/prod_img/500000/871/182/img/17182871_1.jpg?shrink=330:330&_v=20220603094203,1018770.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=17182871&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1884047265&package=0&setpc=0&r=16678595888793,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.7,(20),GAINWARD ( 제조사 웹사이트 바로가기),정격파워 800W 이상,9,-0.11,29,21.92812842932502,0.036255484554904446,369
369,14980142,ASRock 라데온 RX 6600 XT CHALLENGER D OC D6 8GB 에즈윈,2021년 08월,https://img.danawa.com/prod_img/500000/142/980/img/14980142_1.jpg?shrink=330:330&_v=20210811220001,460270.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=971&cate4=0&pcode=14980142&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4716237599&package=0&setpc=0&r=16678601582852,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,5.0,(1),ASRock ( 제조사 웹사이트 바로가기),정격파워 500W 이상,4,0.75,5,13.984208206326262,0.035822452039020576,370
370,16249895,ASUS ROG STRIX 지포스 RTX 3080 O12G GAMING OC D6X 12GB,2022년 01월,https://img.danawa.com/prod_img/500000/895/249/img/16249895_1.jpg?shrink=330:330&_v=20220121140735,1719000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=16249895&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2406832731&package=0&setpc=0&r=16678597575982,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,5.0,(6),ASUS ( 제조사 웹사이트 바로가기),정격파워 850W 이상,15,0.0,21,16.868632592296223,0.03537521815008726,371
371,5492030,AMD 라데온 PRO WX2100 D5 2GB LP,2017년 09월,https://img.danawa.com/prod_img/500000/030/492/img/5492030_1.jpg?shrink=330:330&_v=20201021131746,234320.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=971&cate4=0&pcode=5492030&cmpnyc=PV606&safe_trade=4&fee_type=A&link_pcode=67875&package=0&setpc=0&r=16678622872462,초이스컴,https://img.danawa.com/cmpny_info/images/PV606_logo.gif,4.6,(3),AMD,,2,0.5,5,20.919038094873216,0.03519972686923865,372
372,14351684,GIGABYTE 지포스 RTX 3080 Ti Gaming OC D6X 12GB 제이씨현,2021년 06월,https://img.danawa.com/prod_img/500000/684/351/img/14351684_1.jpg?shrink=330:330&_v=20210603220145,1641390.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=14351684&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2406826323&package=0&setpc=0&r=16678595998138,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,(10),GIGABYTE ( 제조사 웹사이트 바로가기),정격파워 750W 이상,14,-0.43,24,17.652854579245275,0.034987419199580844,373
373,7776679,MSI 지포스 GTX 1650 벤투스 S OC D5 4GB,2019년 04월,https://img.danawa.com/prod_img/500000/679/776/img/7776679_1.jpg?shrink=330:330&_v=20191128090426,233900.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=7776679&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5552982992&package=0&setpc=0&r=16678589941785,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.8,(37),MSI ( 제조사 웹사이트 바로가기),정격파워 300W 이상,2,0.0,39,10.973588982899203,0.03486960239418555,374
374,7312357,갤럭시 GALAX 지포스 GTX 1660 Ti BLACK D D6 6GB,2019년 02월,https://img.danawa.com/prod_img/500000/357/312/img/7312357_1.jpg?shrink=330:330&_v=20210721161819,350860.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=7312357&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5543917281&package=0&setpc=0&r=16678595108736,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,(49),갤럭시 ( 제조사 웹사이트 바로가기),정격파워 450W 이상,3,0.67,52,10.66493515322742,0.03469760018240894,375
375,14398094,MSI 지포스 RTX 3080 Ti 게이밍 X 트리오 D6X 12GB 트라이프로져2,2021년 06월,https://img.danawa.com/prod_img/500000/094/398/img/14398094_1.jpg?shrink=330:330&_v=20210607142008,3010000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=876&cate3=972&cate4=0&pcode=14398094&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=13529082650&package=0&setpc=0&r=16678595155289,티몬,https://img.danawa.com/cmpny_info/images/TN920_logo.gif,4.8,(9),MSI ( 제조사 웹사이트 바로가기),정격파워 750W 이상,25,0.12,34,19.89958527435137,0.034069767441860466,376
