,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,AMD CPU종류,소켓 구분,세대 구분,인텔 CPU종류,사양TDP,사양최대 클럭,review_size,review_mean,review_count,final_score,Test,Rank
103,12387029,인텔 셀러론 G5925 (코멧레이크S) (정품),2020년 10월,https://img.danawa.com/prod_img/500000/029/387/img/12387029_1.jpg?shrink=330:330&_v=20211124161237,83020.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=12387029&cmpnyc=PO30C&safe_trade=4&fee_type=A&link_pcode=127144&package=0&setpc=0&r=16678534552448,피시포올,https://img.danawa.com/cmpny_info/images/PO30C_logo.gif,4.5,(6),인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1200),,셀러론,58W,,5,-0.6,11,8.2061331591369,0.24933750903396773,104
104,9421629,AMD 라이젠7-3세대 3700X (마티스) (멀티팩(정품)),2019년 09월,https://img.danawa.com/prod_img/500000/629/421/img/9421629_1.jpg?shrink=330:330&_v=20220216155835,658440.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=960&cate4=0&pcode=9421629&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1554341863&package=0&setpc=0&r=16678527448459,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.8,(127),AMD ( 제조사 웹사이트 바로가기),라이젠7-3세대,AMD(소켓AM4),3세대(Zen2),,65W,4.4GHz,36,0.22,163,22.80290196189772,0.22569710224166212,105
105,16101431,인텔 코어i5-12세대 12600 (엘더레이크) (정품),2022년 01월,https://img.danawa.com/prod_img/500000/431/101/img/16101431_1.jpg?shrink=330:330&_v=20220121154547,361290.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=16101431&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4724335455&package=0&setpc=0&r=16678522191202,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(71),인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1700),,코어i5-12세대,65~117W,4.8GHz,20,0.1,91,12.322717924544026,0.2244180575161228,106
106,17157083,AMD 라이젠5-4세대 5600 (버미어) (정품),2022년 05월,https://img.danawa.com/prod_img/500000/083/157/img/17157083_1.jpg?shrink=330:330&_v=20220530142319,185800.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=960&cate4=0&pcode=17157083&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=5026582733&package=0&setpc=0&r=16678518876275,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,(32),AMD ( 제조사 웹사이트 바로가기),라이젠5-4세대,AMD(소켓AM4),4세대(Zen3),,65W,4.4GHz,10,-0.1,42,8.989965376986907,0.22034445640473627,107
107,8457111,AMD 라이젠9-3세대 3900X (마티스) (정품),2019년 07월,https://img.danawa.com/prod_img/500000/111/457/img/8457111_1.jpg?shrink=330:330&_v=20200429110834,626040.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=960&cate4=0&pcode=8457111&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3943117226&package=0&setpc=0&r=16678526391878,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(463),AMD ( 제조사 웹사이트 바로가기),라이젠9-3세대,AMD(소켓AM4),3세대(Zen2),,105W,4.6GHz,33,0.48,496,15.74131029994125,0.2165420739888825,108
108,11236047,AMD 라이젠3-3세대 3100 (마티스) (정품),2020년 05월,https://img.danawa.com/prod_img/500000/047/236/img/11236047_1.jpg?shrink=330:330&_v=20200508085814,548100.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=960&cate4=0&pcode=11236047&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=8602904497&package=0&setpc=0&r=16678531341392,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.8,(84),AMD 라이젠3-3세대,라이젠3-3세대,AMD(소켓AM4),3세대(Zen2),,65W,3.9GHz,29,0.31,113,19.29435042789971,0.2164021164021164,109
109,4144446,인텔 코어i7-1세대 870 (린필드) (중고),2016년 06월,https://img.danawa.com/prod_img/500000/446/144/img/4144446_1.jpg?shrink=330:330&_v=20181115121159,19430.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=4144446&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4617082290&package=0&setpc=0&r=16678535196658,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(103),인텔 코어i7-1세대,,인텔(소켓1156),,인텔(코어i7),95W,3.6GHz,1,-1.0,104,20.425146317690476,0.21060216160576428,110
110,9437157,인텔 셀러론 G4930 (커피레이크-R) (정품),2019년 09월,https://img.danawa.com/prod_img/500000/157/437/img/9437157_1.jpg?shrink=330:330&_v=20200708101726,99000.0,http://shop.danawa.com/virtualestimate/?controller=estimate&methods=moveEstimateMiniShop&memberId=PL553&productSeq=9437157&serviceId=blog&marketPlaceSeq=33,㈜한마음아이티,https://img.danawa.com/cmpny_info/images/PL553_logo.gif,4.7,(35),인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1151v2),,셀러론,54W,,5,0.0,40,14.28340665976215,0.2084848484848485,111
111,8464689,AMD 라이젠5-2세대 3400G (피카소) (정품),2019년 07월,https://img.danawa.com/prod_img/500000/689/464/img/8464689_1.jpg?shrink=330:330&_v=20200515132735,459480.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=960&cate4=0&pcode=8464689&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1442215294&package=0&setpc=0&r=16678529892232,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.5,(109),AMD ( 제조사 웹사이트 바로가기),라이젠5-2세대,AMD(소켓AM4),2세대(Zen+),,65W,4.2GHz,23,0.43,132,16.231246035801085,0.20563245407852354,112
112,4467073,"AMD 페넘II-X6 1055T (투반) (중고, 95W)",2016년 09월,https://img.danawa.com/prod_img/500000/073/467/img/4467073_1.jpg?shrink=330:330&_v=20181128093855,40990.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=960&cate4=0&pcode=4467073&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C760293146&package=0&setpc=0&r=16678537806226,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.8,(19),AMD 페넘II-X6,페넘II-X6,AMD(소켓AM3),,,95W,3.3GHz,2,0.0,21,12.0770661371266,0.20112222493291046,113
113,4143852,인텔 코어i5-3세대 3570 (아이비브릿지) (중고),2016년 06월,https://img.danawa.com/prod_img/500000/852/143/img/4143852_1.jpg?shrink=330:330&_v=20200708124313,21360.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=4143852&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4539361666&package=0&setpc=0&r=16678533185187,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.6,(488),인텔 코어i5-3세대,,인텔(소켓1155),,인텔(코어i5-3세대),77W,3.8GHz,1,0.0,489,37.74270058285152,0.19157303370786516,114
114,1678801,인텔 코어i7-3세대 3770 (아이비브릿지) (중고),2012년 04월,https://img.danawa.com/prod_img/500000/801/678/img/1678801_1.jpg?shrink=330:330&_v=20200708122938,64540.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=1678801&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C517637118&package=0&setpc=0&r=16678532802318,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.7,(277),인텔 코어i7-3세대,,인텔(소켓1155),,인텔(코어i7-3세대),77W,3.9GHz,3,1.0,280,20.8423627337954,0.18890610474124575,115
115,7914757,인텔 코어i3-9세대 9100F (커피레이크-R) (벌크),2019년 05월,https://img.danawa.com/prod_img/500000/757/914/img/7914757_1.jpg?shrink=330:330&_v=20190530111550,94320.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=7914757&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4128745380&package=0&setpc=0&r=16678529519300,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(104),인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1151v2),,인텔(코어i3-9세대),65W,4.2GHz,4,0.5,108,8.675700025718944,0.17336726039016115,116
116,11480433,인텔 코어i3-10세대 10100 (코멧레이크S) (벌크),2020년 05월,https://img.danawa.com/prod_img/500000/433/480/img/11480433_1.jpg?shrink=330:330&_v=20200707160006,130760.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=11480433&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3637295814&package=0&setpc=0&r=16678523364207,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.9,(73),인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1200),,코어i3-10세대,65W,4.3GHz,5,0.6,78,17.822256836459196,0.15639339247476292,117
117,11490309,인텔 코어i5-10세대 10400F (코멧레이크S) (벌크 + 쿨러),2020년 06월,https://img.danawa.com/prod_img/500000/309/490/img/11490309_1.jpg?shrink=330:330&_v=20200707160620,131570.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=11490309&cmpnyc=PO30C&safe_trade=4&fee_type=A&link_pcode=128063&package=0&setpc=0&r=16678523029833,피시포올,https://img.danawa.com/cmpny_info/images/PO30C_logo.gif,4.7,(65),인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1200),,코어i5-10세대,65W,4.3GHz,5,0.6,70,22.704632372174355,0.1558105951204682,118
118,15594956,인텔 코어i9-12세대 12900KF (엘더레이크) (정품),2021년 11월,https://img.danawa.com/prod_img/500000/956/594/img/15594956_1.jpg?shrink=330:330&_v=20220112163904,717230.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=15594956&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4724273705&package=0&setpc=0&r=16678522423312,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(38),인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1700),,코어i9-12세대,125~241W,5.2GHz,26,-0.27,64,19.84262316039419,0.150512387936924,119
119,13620002,인텔 코어i9-11세대 11900 (로켓레이크S) (정품),2021년 03월,https://img.danawa.com/prod_img/500000/002/620/img/13620002_1.jpg?shrink=330:330&_v=20210324135837,672390.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=13620002&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P5601644347&package=0&setpc=0&r=16678530535126,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.9,(21),인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1200),,코어i9-11세대,65W,5.2GHz,24,0.0,45,12.087524835047493,0.14534421987239549,120
120,13851785,인텔 코어i3-10세대 10105F (코멧레이크S 리프레시) (벌크),2021년 03월,https://img.danawa.com/prod_img/500000/785/851/img/13851785_1.jpg?shrink=330:330&_v=20210609095101,92230.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=13851785&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5565687772&package=0&setpc=0&r=16678532228119,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.9,(26),인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1200),,코어i3-10세대,65W,4.4GHz,3,0.33,29,4.614347697914154,0.132451479995663,121
121,17913863,AMD 라이젠9-5세대 7900X (라파엘) (정품),2022년 09월,https://img.danawa.com/prod_img/500000/863/913/img/17913863_1.jpg?shrink=330:330&_v=20220927215958,834310.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=960&cate4=0&pcode=17913863&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C761390631&package=0&setpc=0&r=16678521511620,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.5,(2),AMD ( 제조사 웹사이트 바로가기),라이젠9-5세대,AMD(소켓AM5),5세대(Zen4),,170W,5.6GHz,25,0.4,27,16.221330917422,0.12387481871246898,122
122,18039356,인텔 코어i7-13세대 13700KF (랩터레이크) (정품),2022년 10월,https://img.danawa.com/prod_img/500000/356/039/img/18039356_1.jpg?shrink=330:330&_v=20221028174057,574490.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=18039356&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=5055777831&package=0&setpc=0&r=16678519934934,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,5.0,(10),인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1700),,코어i7-13세대,,5.4GHz,17,0.47,27,6.391715989728516,0.12262702570975996,123
